Rating,Location,Title,Reviews
45,Tajmahal,wonder of the world,"awesome, lovely, beautiful, Great! Phenomenal! Superb! Cool! Out Of Sight! Excellent! Unbelievable Work! Two Thumbs Up! You've Got It! Way To Go! Terrific! Outstanding Performance! You've Outdone Yourself! Marvelous! Your Help Counts! Amazing Effort! Bravo! Exceptional! Breathtaking! Wonderful! You're Special! Keep Up The Good Work! First Rate Work! Fantastic Work! You Should Be Proud! I Knew You Had It In You! Very Good! Stupendous! Sensational! A+ Work! What An Imagination! Awesome! You're A Great Example For Others! You Made It Happen! You're A Real Trooper! It Couldn't Be Better! Good For You! You're A Good Sport! You Made The Difference! Take A Bow! Super Job! You're Unique! It's Everything I Hoped For! How Thoughtful Of You! Nice Going! You're A Class Act! Well Done! You're Inspiring! How Artistic! You Go The Extra Mile! Hooray For You! Great Answer! You Deserve A Hug! High Five! Extra Special Work! Wow! You're Getting Better! You're Tops! You're Amazing! What A Great Idea! You Figured It Out You've Got What It Takes! You're Neat! You're A Joy! You're A Shining Star! Spectacular Work! You're #1! You Tried Hard! The Time You Put In Really Shows! Remarkable! Far Out! How Extraordinary! You're A Winner! You Came Through! That's Incredible! 5 Star Work! You're Super! You Can Do It"
45,Tajmahal,Business with A Little Pleasure Mixed In,"The Taj Mahal an immense mausoleum of white marble, built in Agra between 1631 and 1648 by order of the Mughal Emperor, Shah Jahan in memory of his favorite wife, the Taj Mahal is the jewel of Muslim art in India and one of the universally admired masterpieces of the world's heritage. This is a UNESCO site."
45,Tajmahal,Unbelievable and Much Improved,"I visited the Taj Mahal again after having seen it 30 years ago. I was very pleased to see how much better kept this unbelievable jewel is today than back then. The landscaping is kept in order, the reflecting pools are filled, and the marble and stones have been cleaned. This is an incredible monument to visit given its scale (24 stories high), its beauty, and the story behind it."
45,Tajmahal,Beautiful,"It is definitely a must see in your lifetime. It's amazing how large it is and to think they hauled in the marble from miles away is baffling. Stop and notice the gem inlay work. The challenging part was dealing with the crowds. I would highly recommend a guide. We used Atul Tours and Travels. Check them out on fb. Line this up ahead of time. Ask for Sandeep Verma. He took good care of us. He helped us avoid the long lines and showed us the highlights. It will be more relaxing with a guide! It can definitely be overwhelming, but a must see. It is an amazing structure and a beautiful love story. Lastly, opt for the rickshaw ride to the entrance. It's a long walk, plus the rickshaw ride was fun."
45,Tajmahal,Agra Visit A Memorable One,"Travelling to Agra was fun as it was my first journey to Agra and I was quite enthusiastic about it. It took me around 4 hours to reach Agra and the driver was quite cooperative and friendly. His name was Rahul and he cared for us all through the journey.We were 6 people so we booked an Innova car from Delhi. The seats were pushback seats and at every moment driver was considered about our well being. At last we reached Taj, our guide was quite knowledgeable and he explained us about the history of the sites. My experience was quite similar to most of the reviewers on here--the pick up and drop off at the hotel was easy and pleasant. The Taj was mesmerizing and full of beauty. We were spell bound when we had first look of it. Everything was fine expect for the fact that we owed money to our guide for battery cars and shoe covers, but that is part and parcel of travel and we paid him the full amount. Initially we thought of coming to Agra by express train but as we were ending our journey, we thought otherwise and were thrilled by the enchanting experience."
45,Tajmahal,"Worth the visit, even if it's hot and muggy","Worth every Rupee of the ticket (Had to pay VIP ticket, no ID).... Don't forget to visit the museum on the property as well."
45,Tajmahal,Simply cannot be missed!,"It is as good as one imagines! Go early in the morning to avoid the crush. Also make sure that you bring a torch and look for the orange stones, called cornelian, inside the Taj. When you shine a light on them they glow as if they are backlit. Another small slice of magic in this wonderful place."
45,Tajmahal,Nice place,"Best place in all of Agra, and the reason everyone comes. Coming in the summer is really hot, but it's a lot less busy. Lots of touts on the streets outside of the Taj Mahal."
45,Tajmahal,Astoundingly beautiful,I love marble and everything there was just... beautiful. It was also a great opportunity for us to dress up in traditional Indian costumes (sari for girls) and take amazing photos to remember for a lifetime :)
45,Tajmahal,Simply stunning,"For me it was one if those jaw dropping moments. It really is beautiful as are the gardens. We had a guide which was useful for knowledge and stopping the other would be guides from pestering us. I would strongly advise going at sunrise or sunset, it's cooler and quieter. We chose sunrise and it was well worth the early start."
45,Tajmahal,Breath Taking,A must see at early morning the light at that time provides a dreamlike quality that stops you in your tracks. The details of the inlays on the marble are an art form that is still in existence. No photos can do the Taj justice - a must see.
45,Tajmahal,Taj is Taj,Very beautiful monument. It has a great history and you need a guide to explain it in detail. We took a lot of pictures with Taj mahal in the background.
45,Tajmahal,Make it a point to visit every time we are in Agra,We keep coming to Agra occasionally on our official trip and have seen Taj Mahal so many times but we still make it a point to visit Taj mahal on every visit
45,Tajmahal,Must visit monument,
45,Tajmahal,As good as the pictures,As good as the pictures. Worth the money for a guide but negotiate hard for a good price. Go at sunrise before all the tourists get there
45,Tajmahal,Fascinating,Simply Awesome. It was heavenly. It is really an wonder of the world. Please be with your partner while viewing the mausoleum for the first time.
45,Tajmahal,Must see,"Beautiful. More people than I thought. Two of minarets had scaffolding on but wasn't too bad. The marble did it for me, so beautiful marble. They are still refurbishing the ten minute walk to the entrance it will be nicer in 6 months or so I think government spending a lot cleaning it up but almost finished.  Only 10,000 entrance for foreigners. That's if your a independent traveler. I just brushed off all the annoying people offering walking tours."
45,Tajmahal,8th Wonder of World,Taj Mahal is indeed wonder of the world. You would see this when you would actually see this in reality. It's size and beauty is awe inspiring. The architecture is simply amazing and inside the tomb is even more beautiful. You have to see it to believe it. Highly recommended for a visit during stay in Agra.
45,Tajmahal,Amazing Wonder,Awesome experience. i feel so lucky to visit this wonderful place. One of the 7 wonders of the world. The beauty of the marble works inside is spectacular and it was a very memorable moment of my life. Enjoyed each moment of that Taj visit.
45,Tajmahal,Must see in India,"Well the sight is a must see in India. It is very crowded! So at the entry and on exit take care of your belongings. Also when you visit Taj, they do not allow any backpacks or any sort of bags in really, so leave most of your stuff to the hotel. Also cigarettes are not allowed inside, so if you happen to have it with you, you need to give those up. So best is to go only with camera or a phone and that's about it. There is no dress code and it's closed on Fridays. When we went, was really busy! We went around 4 o clock, but more quiet would be morning time."
45,Tajmahal,Breathtaking,It was more beautiful than I ever anticipated. My hair stood up on my arms when I first saw it.  We had an excellent guide arranged by The Oberoi. He gave us a lot of information and history which I appreciated.  We made the mistake of getting a 'photographer'. It was expensive and I think we had about 5 photos that were any good but paid USD100 for 60.  We went late afternoon which was perfect. Daytrippers had departed and it was starting to cool down.  I will always remember this day.
45,Tajmahal,Worth the visit,This is as amazing as I thought it would be. I went here for a day tour and it did not disappoint. Definitely worth the 4 hours travel from Delhi.
45,Tajmahal,7 wonders of the world - amazing,Taj Mahal is beautiful. Try to go in the early hours so as to avoid the rush. You will be able to enjoy the beauty of the Taj in less crowd. Please do carry id proofs for all members else no entry. Please do not be fleeced by guides as they make you feel you will miss so much if you do not take them. The real beauty lies in venturing yourself and enjoying at your pace.
